name,rating,review,Type,headquater,years_odd,employees
TCS,3.8,(59.7k Reviews),Public,"Mumbai,Maharashtra + 276 more",55 years old,1 Lakh+ Employees (India)
Accenture,4.1,(38.2k Reviews),Public,Dublin + 139 more,34 years old,1 Lakh+ Employees (India)
Cognizant,3.9,(34.8k Reviews),Private,Teaneck. New Jersey. + 109 more,29 years old,1 Lakh+ Employees (India)
ICICI Bank,4.0,(28.5k Reviews),Public,"Mumbai,Maharashtra + 1153 more",29 years old,1 Lakh+ Employees (India)
Wipro,3.9,(28.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 235 more",78 years old,1 Lakh+ Employees (India)
HDFC Bank,3.9,(27.7k Reviews),Public,"Mumbai,Maharashtra + 1388 more",29 years old,1 Lakh+ Employees (India)
Infosys,3.9,(26.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 132 more",42 years old,1 Lakh+ Employees (India)
Capgemini,3.9,(24.4k Reviews),Public,Paris + 81 more,56 years old,1 Lakh+ Employees (India)
Tech Mahindra,3.7,(22.8k Reviews),Public,"Pune,Maharashtra + 221 more",37 years old,1 Lakh+ Employees (India)
Genpact,4.0,(22.1k Reviews),Public,"New York,New York + 75 more",26 years old,1 Lakh+ Employees (India)
HCLTech,3.8,(21.6k Reviews),Public,"Noida,Uttar Pradesh + 147 more",32 years old,1 Lakh+ Employees (India)
Axis Bank,3.9,(18.7k Reviews),Public,"Mumbai,Maharashtra + 1194 more",30 years old,50k-1 Lakh Employees (India)
Concentrix Corpo...,4.0,(17.5k Reviews),Public,"Fremont,California + 77 more",40 years old,10k-50k Employees (India)
IBM,4.1,(17.4k Reviews),Public,"Armonk,New York + 127 more",112 years old,50k-1 Lakh Employees (India)
Reliance Jio,4.0,(16.8k Reviews),Public,"Navi Mumbai,Maharashtra + 1059 more",16 years old,50k-1 Lakh Employees (India)
Amazon,4.2,(16.7k Reviews),Public,"Seattle,Washington + 382 more",29 years old,1 Lakh+ Employees (India)
Larsen & Toubro ...,4.0,(16.1k Reviews),Public,"Mumbai,Maharashtra + 558 more",85 years old,1 Lakh+ Employees (India)
HDB Financial Se...,4.0,(15.1k Reviews),Private,"Ahmedabad,Gujrat + 862 more",16 years old,10k-50k Employees (India)
Reliance Retail,4.0,(14.2k Reviews),Private,"Navi Mumbai,Maharashtra + 835 more",17 years old,1 Lakh+ Employees (India)
Teleperformance,3.6,(14k Reviews),Private,Paris + 127 more,45 years old,10k-50k Employees (India)
Vodafone Idea,4.2,(14k Reviews),Public,"Gandhinagar,Gujrat + 590 more",5 years old,10k-50k Employees (India)
Deloitte,4.0,(11.8k Reviews),Private,"London,United Kingdom + 138 more",178 years old,50k-1 Lakh Employees (India)
Kotak Mahindra B...,3.8,(11.7k Reviews),Public,"Mumbai,Maharashtra + 501 more",20 years old,10k-50k Employees (India)
BYJU'S,3.2,(11.4k Reviews),Private,"Bangalore,Karnataka + 282 more",12 years old,1k-5k Employees (India)
Reliance Industr...,4.0,(11.1k Reviews),Public,"Navi Mumbai,Maharashtra + 558 more",46 years old,
Bharti Airtel,4.0,(10.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 572 more",28 years old,10k-50k Employees (India)
Tata Motors,4.2,(9.7k Reviews),Public,"Pune,Maharashtra + 403 more",78 years old,50k-1 Lakh Employees (India)
Flipkart,4.1,(8.3k Reviews),Public,"Bangalore,Karnataka + 481 more",16 years old,10k-50k Employees (India)
WNS,3.6,(8k Reviews),Private,"Mumbai,Maharashtra + 25 more",27 years old,10k-50k Employees (India)
Ernst & Young,3.7,(8k Reviews),Private,London + 80 more,21 years old,10k-50k Employees (India)
IndusInd Bank,3.8,(7.7k Reviews),Public,"Gurgaon/Gurugram,Haryana + 614 more",29 years old,10k-50k Employees (India)
Mahindra & Mahin...,4.2,(7.5k Reviews),Public,"Mumbai,Maharashtra + 426 more",78 years old,1 Lakh+ Employees (India)
DXC Technology,3.8,(7k Reviews),Public,"Minato,Tokyo + 56 more",6 years old,10k-50k Employees (India)
Infosys BPM,3.9,(6.8k Reviews),"Bangalore/Bengaluru,Karnataka + 52 more",21 years old,10k-50k Employees (India),
IDFC FIRST Bank,4.0,(6.5k Reviews),Public,"Mumbai,Maharashtra + 476 more",5 years old,10k-50k Employees (India)
Maruti Suzuki,4.1,(6.4k Reviews),Public,"New Delhi,Delhi + 386 more",40 years old,10k-50k Employees (India)
Hinduja Global S...,4.0,(6.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 84 more",23 years old,10k-50k Employees (India)
Bajaj Finserv,4.0,(6.1k Reviews),Public,"Pune,Maharashtra + 756 more",16 years old,10k-50k Employees (India)
HSBC Group,4.1,(6k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,10k-50k Employees (India)
Conneqt Business...,3.7,(5.9k Reviews),Private,"Mumbai,Maharashtra + 176 more",21 years old,10k-50k Employees (India)
Ericsson,4.3,(5.8k Reviews),Private,"Stockholm,Stockholm County + 138 more",147 years old,10k-50k Employees (India)
Mphasis,3.6,(5.7k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 40 more",25 years old,10k-50k Employees (India)
iEnergizer,4.2,(5.5k Reviews),Private,"Noida,Uttar Pradesh + 17 more",23 years old,10k-50k Employees (India)
PwC,3.7,(5.4k Reviews),Partnership,"London,United Kingdom + 73 more",143 years old,10k-50k Employees (India)
Startek,3.2,(5.3k Reviews),Public,"Mumbai,Maharashtra + 53 more",6 years old,10k-50k Employees (India)
HDFC Life,4.1,(5.3k Reviews),Public,"Mumbai,Maharashtra + 457 more",1 years old,10k-50k Employees (India)
Dr. Reddy's,4.2,(5.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 145 more",39 years old,10k-50k Employees (India)
Yes Bank,3.9,(5.3k Reviews),Public,"Mumbai,Maharashtra + 398 more",19 years old,10k-50k Employees (India)
Asian Paints,4.2,(5.3k Reviews),Public,"Mumbai,Maharashtra + 372 more",81 years old,10k-50k Employees (India)
Cipla Pharmaceut...,4.1,(5.2k Reviews),Public,"Mumbai,Maharashtra + 196 more",88 years old,10k-50k Employees (India)
Sutherland Globa...,3.8,(5.2k Reviews),Private,"Pittsford,New York + 43 more",37 years old,10k-50k Employees (India)
NTT DATA,4.0,(5k Reviews),Private,"Chiyoda City,Tokyo + 44 more",35 years old,10k-50k Employees (India)
Jana Small Finan...,3.8,(4.9k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 323 more",17 years old,10k-50k Employees (India)
ICICI Prudential...,4.1,(4.9k Reviews),Public,"Mumbai,Maharashtra + 416 more",23 years old,10k-50k Employees (India)
Udaan,4.0,(4.8k Reviews),Private,"Bangalore,Karnataka + 325 more",7 years old,1k-5k Employees (India)
EXL Service,3.9,(4.8k Reviews),Private,"New York City,New York + 35 more",24 years old,10k-50k Employees (India)
HCL Group,3.8,(4.8k Reviews),Chennai + 64 more,47 years old,1 Lakh+ Employees (India),
Lupin,4.1,(4.8k Reviews),Public,"Mumbai,Maharashtra + 140 more",55 years old,10k-50k Employees (India)
KPMG,3.7,(4.7k Reviews),Partnership,Bengaluru/Bangalore + 66 more,36 years old,10k-50k Employees (India)
UltraTech Cement,4.2,(4.7k Reviews),Public,"Mumbai,Maharashtra + 383 more",40 years old,10k-50k Employees (India)
Bajaj Finance,4.1,(4.5k Reviews),Private,"Pune,Maharashtra + 677 more",36 years old,10k-50k Employees (India)
Paytm,3.6,(4.5k Reviews),Public,Noida + 258 more,13 years old,10k-50k Employees (India)
Bandhan Bank,3.8,(4.5k Reviews),Public,"Kolkata,West Bengal + 631 more",22 years old,50k-1 Lakh Employees (India)
L&T Infotech,3.8,(4.5k Reviews),Public,"Mumbai,Maharashtra + 69 more",27 years old,10k-50k Employees (India)
Indian Army,4.7,(4.4k Reviews),Public,"New Delhi,Delhi + 290 more",128 years old,1 Lakh+ Employees (India)
ITC,3.9,(4.4k Reviews),Public,"Kolkata,West Bengal + 261 more",48 years old,10k-50k Employees (India)
Mindtree,4.0,(4.3k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 27 more",24 years old,10k-50k Employees (India)
Ujjivan Small Fi...,4.1,(4.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 395 more",6 years old,10k-50k Employees (India)
Hindustan Unilev...,4.3,(4.2k Reviews),Public,"Mumbai,Maharashtra + 384 more",90 years old,10k-50k Employees (India)
JP Morgan Chase,4.2,(4.2k Reviews),Private,"New York,New York + 25 more",23 years old,10k-50k Employees (India)
AU Small Finance...,4.2,(4.2k Reviews),Private,"Jaipur,Rajasthan + 325 more",27 years old,10k-50k Employees (India)
Delhivery,4.1,(4.2k Reviews),Private,"Delhi,NCT + 526 more",12 years old,10k-50k Employees (India)
Wells Fargo,4.2,(4.2k Reviews),Public,"San Francisco,California + 15 more",171 years old,10k-50k Employees (India)
IIFL Finance,3.8,(4.1k Reviews),Public,"Mumbai,Maharashtra + 569 more",28 years old,10k-50k Employees (India)
Home Credit Fina...,4.2,(4.1k Reviews),Private,Gurugram + 107 more,11 years old,5k-10k Employees (India)
Quess,4.0,(3.9k Reviews),Public,Bangalore + 430 more,16 years old,1 Lakh+ Employees (India)
Sun Pharmaceutic...,4.1,(3.9k Reviews),Public,Mumbai + 167 more,40 years old,10k-50k Employees (India)
Amazon Developme...,4.3,(3.9k Reviews),,,,
OPPO,3.9,(3.9k Reviews),Public,"Dongguan,Guangdong + 345 more",19 years old,10k-50k Employees (India)
TATA Steel,4.2,(3.9k Reviews),Public,"Mumbai,Maharashtra + 130 more",116 years old,1 Lakh+ Employees (India)
Ashok Leyland,4.1,(3.8k Reviews),Public,"Chennai,Tamil Nadu + 197 more",75 years old,10k-50k Employees (India)
Shapoorji Pallon...,4.2,(3.8k Reviews),Private,"Mumbai,Maharashtra + 145 more",158 years old,5k-10k Employees (India)
Hexaware Technol...,3.7,(3.8k Reviews),Private,"Mumbai,Maharashtra + 32 more",33 years old,10k-50k Employees (India)
Shriram Transpor...,4.1,(3.8k Reviews),Public,"Mumbai,Maharashtra + 730 more",44 years old,10k-50k Employees (India)
JSW Steel,3.9,(3.7k Reviews),Public,"Mumbai,Maharashtra + 109 more",41 years old,10k-50k Employees (India)
Vivo,4.0,(3.7k Reviews),Private,"Gurgaon/Gurugram,Haryana + 346 more",14 years old,5k-10k Employees (India)
Aurobindo Pharma,4.0,(3.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 53 more",37 years old,10k-50k Employees (India)
Zydus Cadila,4.2,(3.7k Reviews),Public,"Ahmedabad, India + 119 more",71 years old,10k-50k Employees (India)
Max Life Insuran...,4.2,(3.7k Reviews),JV,"Gurgaon/Gurugram,Haryana + 335 more",23 years old,10k-50k Employees (India)
Muthoot Finance,3.6,(3.7k Reviews),Public,"Kochi/Cochin,Kerala + 537 more",84 years old,10k-50k Employees (India)
eClerx,3.5,(3.7k Reviews),Public,"Mumbai,Maharashtra + 14 more",23 years old,10k-50k Employees (India)
Siemens,4.2,(3.7k Reviews),Public,"Munich,Bavaria + 107 more",176 years old,5k-10k Employees (India)
Mahindra & Mahin...,4.3,(3.7k Reviews),Public,"Mumbai,Maharashtra + 595 more",32 years old,10k-50k Employees (India)
Apollo Hospitals,4.1,(3.7k Reviews),Public,"San Francisco,California + 167 more",40 years old,50k-1 Lakh Employees (India)
Oracle,3.9,(3.6k Reviews),Public,"Austin,Texas + 35 more",46 years old,50k-1 Lakh Employees (India)
Tata Projects,4.2,(3.6k Reviews),Public,"Mumbai,Maharashtra + 216 more",44 years old,10k-50k Employees (India)
JLL,4.2,(3.5k Reviews),Private,"Mumbai,Maharashtra + 62 more",26 years old,5k-10k Employees (India)
First Source,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 47 more",22 years old,10k-50k Employees (India)
Nokia,4.3,(3.5k Reviews),Private,"Espoo,Southern Finland + 171 more",158 years old,10k-50k Employees (India)
Hewlett-Packard ...,4.3,(3.5k Reviews),Private,"Houston,Texas + 87 more",8 years old,10k-50k Employees (India)
Hero MotoCorp,4.2,(3.5k Reviews),Public,"Gurgaon/Gurugram,Haryana + 282 more",39 years old,5k-10k Employees (India)
JustDial,3.6,(3.4k Reviews),Public,"Mumbai,Maharashtra + 146 more",27 years old,10k-50k Employees (India)
Bajaj Allianz Li...,4.1,(3.4k Reviews),Private,Pune + 460 more,22 years old,10k-50k Employees (India)
Cyient,3.7,(3.3k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 26 more",32 years old,10k-50k Employees (India)
Fidelity Nationa...,4.0,(3.3k Reviews),Private,"Jacksonville,Florida + 30 more",55 years old,5k-10k Employees (India)
Omega Healthcare,3.8,(3.3k Reviews),Private,Florida + 32 more,19 years old,5k-10k Employees (India)
Megha Engineerin...,4.1,(3.3k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 238 more",34 years old,1k-5k Employees (India)
Reliance Communi...,4.0,(3.2k Reviews),Public,"Navi Mumbai,Maharashtra + 391 more",21 years old,10k-50k Employees (India)
Hyundai Motor,4.3,(3.2k Reviews),Private,Seoul + 241 more,56 years old,10k-50k Employees (India)
L&T Construction,4.0,(3.2k Reviews),Public,Chennai + 280 more,79 years old,10k-50k Employees (India)
TVS Motor,4.0,(3.2k Reviews),Public,"Chennai,Tamil Nadu + 249 more",44 years old,10k-50k Employees (India)
D Mart,3.9,(3.2k Reviews),Private,"Mumbai,Maharashtra + 188 more",4 years old,10k-50k Employees (India)
Oyo Rooms,3.5,(3.1k Reviews),Private,"Gurgaon,Haryana + 108 more",10 years old,1k-5k Employees (India)
Bosch,4.3,(3.1k Reviews),Public,"Gerlingen,Baden-Wuerttemberg + 87 more",137 years old,10k-50k Employees (India)
Intelenet Global...,3.7,(3.1k Reviews),Private,"Mumbai,Maharashtra + 56 more",23 years old,10k-50k Employees (India)
BigBasket,4.1,(3.1k Reviews),Private,"Bangalore,Karnataka + 94 more",12 years old,10k-50k Employees (India)
Future Group,4.3,(3.1k Reviews),Private,"Mumbai,Maharashtra + 194 more",10 years old,10k-50k Employees (India)
Atos Syntel,3.7,(3k Reviews),Private,"Troy,Michigan + 14 more",43 years old,10k-50k Employees (India)
Indiamart Interm...,3.7,(3k Reviews),Private,"Noida,Uttar Pradesh + 119 more",27 years old,10k-50k Employees (India)
Manappuram Finan...,4.0,(3k Reviews),Public,"Thrissur/Trichur,Kerala + 437 more",74 years old,10k-50k Employees (India)
SBI Cards & Paym...,3.7,(3k Reviews),Government,"Gurgaon/Gurugram,Haryana + 291 more",25 years old,1k-5k Employees (India)
BNY Mellon,4.2,(3k Reviews),Private,"New York City,New York + 11 more",19 years old,5k-10k Employees (India)
Wipro BPS,3.8,(3k Reviews),Bengaluru + 35 more,23 years old,1 Lakh+ Employees (India),
Cummins,4.4,(2.9k Reviews),"Columbus,Indiana + 89 more",61 years old,10k-50k Employees (India),
Bosch Global Sof...,4.2,(2.9k Reviews),Private,Gerlingen + 22 more,33 years old,10k-50k Employees (India)
Fullerton India,4.1,(2.9k Reviews),Private,Mumbai + 428 more,16 years old,10k-50k Employees (India)
IQVIA,4.1,(2.9k Reviews),Partnership,Durham + 37 more,41 years old,10k-50k Employees (India)
UST,3.9,(2.9k Reviews),Private,"Aliso Viejo,California + 31 more",22 years old,10k-50k Employees (India)
Samsung,4.1,(2.9k Reviews),Public,Seoul + 386 more,85 years old,5k-10k Employees (India)
Amdocs,4.0,(2.9k Reviews),Private,"Chesterfield,Missouri + 12 more",41 years old,10k-50k Employees (India)
Schneider Electr...,4.1,(2.9k Reviews),Private,Paris + 96 more,24 years old,10k-50k Employees (India)
CBRE,4.2,(2.9k Reviews),Private,"Los Angeles,California + 61 more",117 years old,5k-10k Employees (India)
Capgemini Techno...,4.0,(2.8k Reviews),,,,
Nagarro,4.5,(2.8k Reviews),Private,"Munich,Bavaria + 32 more",27 years old,10k-50k Employees (India)
ICICI Lombard Ge...,3.8,(2.8k Reviews),Public,"Mumbai,Maharashtra + 221 more",22 years old,5k-10k Employees (India)
GlobalLogic,3.8,(2.8k Reviews),Private,"San Jose,California + 24 more",23 years old,1k-5k Employees (India)
Virtusa Consulti...,3.8,(2.8k Reviews),Private,"Southborough,Massachusetts + 24 more",27 years old,10k-50k Employees (India)
JBM Group,4.0,(2.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 75 more",40 years old,10k-50k Employees (India)
Ecom Express,4.1,(2.8k Reviews),Private,"Gurgaon,Haryana + 551 more",11 years old,10k-50k Employees (India)
Dell,4.2,(2.8k Reviews),Private,"Round Rock,Texas + 81 more",39 years old,10k-50k Employees (India)
Viatris,4.3,(2.7k Reviews),"Canonsburg,Pennsylvania + 63 more",62 years old,10k-50k Employees (India),
State Bank of In...,3.8,(2.7k Reviews),"Mumbai,Maharashtra + 419 more",217 years old,1 Lakh+ Employees (India),
Bajaj Auto,3.9,(2.7k Reviews),Public,"Pune,Maharashtra + 217 more",78 years old,5k-10k Employees (India)
Equitas Small Fi...,4.1,(2.7k Reviews),Private,"Chennai,Tamil Nadu + 317 more",16 years old,10k-50k Employees (India)
Cholamandalam In...,4.1,(2.7k Reviews),Private,"Chennai,Tamil Nadu + 534 more",45 years old,5k-10k Employees (India)
Nagarjuna Constr...,4.1,(2.7k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 193 more",25 years old,1k-5k Employees (India)
Swiggy,4.0,(2.7k Reviews),Private,"Bangalore,Karnataka + 152 more",9 years old,10k-50k Employees (India)
KEC Internationa...,4.0,(2.6k Reviews),Public,"Mumbai,Maharashtra + 235 more",78 years old,5k-10k Employees (India)
Godrej & Boyce M...,3.9,(2.6k Reviews),Private,"Mumbai,Maharashtra + 119 more",126 years old,10k-50k Employees (India)
Muthoot Fincorp,4.0,(2.6k Reviews),Private,"Trivandrum/Thiruvananthapuram,Kerala + 481 more",136 years old,10k-50k Employees (India)
SBI Life Insuran...,3.8,(2.6k Reviews),Government,"Mumbai,Maharashtra + 471 more",22 years old,10k-50k Employees (India)
Aditya Birla Fas...,4.2,(2.6k Reviews),Private,Mumbai + 203 more,8 years old,10k-50k Employees (India)
Royal Enfield,4.2,(2.6k Reviews),Private,"Gurgaon/Gurugram,Haryana + 268 more",122 years old,1k-5k Employees (India)
Tata Communicati...,4.2,(2.6k Reviews),Public,"Mumbai,Maharashtra + 80 more",37 years old,5k-10k Employees (India)
LG Electronics,4.0,(2.6k Reviews),Public,"Seoul,Seoul + 216 more",65 years old,10k-50k Employees (India)
Whitehat jr,3.6,(2.6k Reviews),Private,"Mumbai,Maharashtra + 46 more",5 years old,5k-10k Employees (India)
Ekart Logistics,4.1,(2.6k Reviews),Private,"San Francisco,California + 479 more",14 years old,5k-10k Employees (India)
John Deere,4.3,(2.6k Reviews),Private,"Moline,Illinois + 101 more",22 years old,1k-5k Employees (India)
Optum,4.1,(2.6k Reviews),Private,"Prairie,USA + 21 more",46 years old,10k-50k Employees (India)
L&T Finance,4.0,(2.5k Reviews),Public,"Mumbai,Maharashtra + 433 more",29 years old,10k-50k Employees (India)
L&T Technology S...,3.4,(2.5k Reviews),Public,"Vadodara/Baroda,Gujarat + 30 more",11 years old,10k-50k Employees (India)
Piramal Capital ...,4.3,(2.5k Reviews),Mumbai + 282 more,3 years old,5k-10k Employees (India),
Intas Pharmaceut...,4.2,(2.5k Reviews),Private,"Ahmedabad,Gujrat + 104 more",23 years old,10k-50k Employees (India)
UnitedHealth,4.2,(2.5k Reviews),Private,"Minnetonka,Minnesota + 13 more",46 years old,10k-50k Employees (India)
Hetero Drugs,3.8,(2.5k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 32 more",30 years old,1k-5k Employees (India)
Ford Motor,4.5,(2.5k Reviews),Public,"Dearborn,Michigan + 97 more",120 years old,5k-10k Employees (India)
Thermax Limited,4.2,(2.5k Reviews),Public,"Pune,Maharashtra + 137 more",43 years old,5k-10k Employees (India)
Sodexo,4.1,(2.4k Reviews),Private,Issy Les Moulineaux + 119 more,15 years old,201-500 Employees (India)
Varun Beverages,4.0,(2.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 238 more",28 years old,10k-50k Employees (India)
Abbott Healthcar...,4.2,(2.4k Reviews),Public,"Illinois City,Illinois + 157 more",32 years old,10k-50k Employees (India)
Subros,4.0,(2.4k Reviews),Public,"Noida,Uttar Pradesh + 37 more",38 years old,1k-5k Employees (India)
Macleods Pharmac...,3.8,(2.4k Reviews),Public,"Mumbai,Maharashtra + 80 more",37 years old,5k-10k Employees (India)
Motherson Sumi S...,3.8,(2.4k Reviews),Public,"Noida,Uttar Pradesh + 62 more",37 years old,5k-10k Employees (India)
VE Commercial Ve...,4.0,(2.4k Reviews),Private,"Gurgaon/Gurugram,Haryana + 112 more",15 years old,1k-5k Employees (India)
Automatic Data P...,4.2,(2.4k Reviews),New Jersey + 15 more,74 years old,5k-10k Employees (India),
Randstad,3.9,(2.4k Reviews),Private,"Chennai,Tamil Nadu + 218 more",31 years old,1k-5k Employees (India)
American Express,4.3,(2.3k Reviews),Private,"New York City,New York + 36 more",173 years old,10k-50k Employees (India)
Wipro Consumer ...,3.7,(2.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 79 more",78 years old,1k-5k Employees (India)
Axis Direct,3.9,(2.3k Reviews),Private,"San Mateo,California + 264 more",12 years old,1k-5k Employees (India)
Hindustan Coca C...,4.4,(2.3k Reviews),Private,Bangalore + 188 more,26 years old,5k-10k Employees (India)
Havells,4.1,(2.3k Reviews),Public,"Noida,Uttar Pradesh + 148 more",40 years old,5k-10k Employees (India)
Wipro Infotech,4.0,(2.3k Reviews),Private,Bangalore + 115 more,78 years old,1 Lakh+ Employees (Global)
Pidilite Industr...,4.3,(2.3k Reviews),Public,"Mumbai,Maharashtra + 195 more",64 years old,5k-10k Employees (India)
Indian Air Force,4.6,(2.3k Reviews),Private,"New Delhi,Delhi + 107 more",91 years old,1 Lakh+ Employees (India)
Alkem Laboratori...,4.0,(2.3k Reviews),Public,"Mumbai,Maharashtra + 128 more",50 years old,10k-50k Employees (India)
CARS24,3.7,(2.3k Reviews),Private,"Gurgaon,Haryana + 135 more",8 years old,5k-10k Employees (India)
Bharat Electroni...,4.1,(2.3k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 36 more",69 years old,5k-10k Employees (India)
Alembic Pharmace...,4.1,(2.2k Reviews),Public,"Vadodara/Baroda,Gujrat + 123 more",116 years old,10k-50k Employees (India)
Atos,3.9,(2.2k Reviews),Private,"Vilnius,Vilniaus Apskritis + 34 more",26 years old,201-500 Employees (India)
Deutsche Bank,4.1,(2.2k Reviews),Private,Frankfurt + 29 more,153 years old,10k-50k Employees (India)
Cgi Group,4.1,(2.2k Reviews),Private,"Montreal,Quebec + 13 more",47 years old,10k-50k Employees (India)
Team Lease,3.9,(2.2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 244 more",7 years old,1k-5k Employees (India)
Vishal Mega Mart,3.8,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 290 more",15 years old,10k-50k Employees (India)
Hindalco Industr...,4.2,(2.2k Reviews),Public,"Mumbai,Maharashtra + 71 more",65 years old,10k-50k Employees (India)
CMS IT Services,3.2,(2.2k Reviews),Private,"Bangalore,Karnataka + 131 more",9 years old,5k-10k Employees (India)
DCB Bank,3.9,(2.2k Reviews),Private,"Mumbai,Maharashtra + 273 more",93 years old,5k-10k Employees (India)
Glenmark Pharmac...,4.1,(2.2k Reviews),Public,"Mumbai,Maharashtra + 120 more",46 years old,501-1k Employees (India)
Honda Motorcycle...,4.2,(2.2k Reviews),Private,"Gurgaon/Gurugram,Haryana + 184 more",24 years old,1k-5k Employees (India)
ABB Group,4.1,(2.2k Reviews),Public,Zurich + 86 more,35 years old,10k-50k Employees (India)
Ipca Laboratorie...,4.0,(2.2k Reviews),Public,"Mumbai,Maharashtra + 102 more",74 years old,10k-50k Employees (India)
NatWest Group,4.1,(2.1k Reviews),Government,Gurgaon/Gurugram + 21 more,10k-50k Employees (India),
Publicis Sapien...,3.6,(2.1k Reviews),Private,"New York,New York + 14 more",33 years old,10k-50k Employees (India)
DTDC Express,3.9,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 201 more",33 years old,1k-5k Employees (India)
Escorts Kubota L...,4.1,(2.1k Reviews),Public,"Faridabad,Haryana + 117 more",63 years old,10k-50k Employees (India)
MRF Tyres,3.7,(2.1k Reviews),Public,"Chennai,Tamil Nadu + 156 more",77 years old,10k-50k Employees (India)
Maersk,4.3,(2.1k Reviews),Private,Copenhagen + 25 more,119 years old,10k-50k Employees (India)
Standard Charter...,4.0,(2.1k Reviews),Private,"London,England + 56 more",54 years old,5k-10k Employees (India)
Reliance Nippon ...,3.9,(2.1k Reviews),Private,"Mumbai,Maharashtra + 403 more",23 years old,10k-50k Employees (India)
GATI-KWE,4.1,(2.1k Reviews),Private,"Hyderabad/Secunderabad,Telangana + 151 more",11 years old,1k-5k Employees (India)
Persistent Syste...,4.0,(2.1k Reviews),Public,"Pune,Maharashtra + 15 more",33 years old,10k-50k Employees (India)
Shoppers Stop,4.2,(2.1k Reviews),Public,"Mumbai,Maharashtra + 57 more",32 years old,5k-10k Employees (India)
24/7 Customer,3.6,(2.1k Reviews),Private,"San Jose,California + 21 more",23 years old,5k-10k Employees (India)
Conduent,3.6,(2.1k Reviews),Private,"Florham Park,New Jersey + 18 more",6 years old,5k-10k Employees (India)
Bank of America,4.4,(2.1k Reviews),Private,Charlotte + 23 more,25 years old,10k-50k Employees (India)
Aarti Industries,4.1,(2.1k Reviews),Public,"Mumbai,Maharashtra + 36 more",48 years old,5k-10k Employees (India)
Tata AIA Life In...,4.1,(2.1k Reviews),Private,"Mumbai,Maharashtra + 248 more",22 years old,10k-50k Employees (India)
Paras Hospital,4.7,(2.1k Reviews),Private,"Gurgaon/Gurugram,Haryana + 28 more",17 years old,5k-10k Employees (India)
ITC Infotech In...,3.6,(2.1k Reviews),Private,"Bangalore/Bengaluru,Karnataka + 42 more",23 years old,5k-10k Employees (India)
R1 RCM,3.9,(2k Reviews),Private,"Murray,Utah + 16 more",20 years old,5k-10k Employees (India)
Biocon,3.9,(2k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 56 more",45 years old,10k-50k Employees (India)
Utkarsh Small Fi...,3.9,(2k Reviews),Public,"Varanasi,Uttar Pradesh + 255 more",14 years old,10k-50k Employees (India)
Suzlon Group,4.1,(2k Reviews),Public,"Pune,Maharashtra + 95 more",28 years old,5k-10k Employees (India)
Ceat Tyres,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 95 more",65 years old,5k-10k Employees (India)
Access Healthcar...,4.0,(2k Reviews),Private,"Dallas,Texas + 17 more",12 years old,1k-5k Employees (India)
Jindal Steel and...,4.0,(2k Reviews),Private,"Delhi/NCR,New Delhi + 92 more",71 years old,5k-10k Employees (India)
Indian Oil Corpo...,4.4,(2k Reviews),Private,"Delhi/NCR,Delhi + 206 more",64 years old,10k-50k Employees (India)
Berger Paints,3.7,(2k Reviews),Public,"Kolkata,West Bengal + 200 more",100 years old,1k-5k Employees (India)
HDFC Ergo Genera...,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 199 more",21 years old,5k-10k Employees (India)
RSPL Group,4.1,(2k Reviews),Private,"Mumbai,Maharashtra + 156 more",36 years old,1k-5k Employees (India)
RBL Bank,3.7,(2k Reviews),Public,"Mumbai,Maharashtra + 191 more",80 years old,1k-5k Employees (India)
Simplex Infrastr...,3.4,(2k Reviews),Public,"Kolkata,West Bengal + 125 more",99 years old,1k-5k Employees (India)
ACC,4.0,(2k Reviews),Public,"Mumbai,Maharashtra + 193 more",87 years old,5k-10k Employees (India)
Dabur,3.9,(2k Reviews),Public,"Ghaziabad,Uttar Pradesh + 214 more",139 years old,5k-10k Employees (India)
